City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Touros,BR,-5.1989,-35.4608,78.8,89,75,19.57,broken clouds
312,Serebryansk,KZ,49.6925,83.2892,46.4,57,79,13.42,broken clouds
313,Buarcos,PT,40.166,-8.8768,66.0,59,0,5.75,clear sky
314,Dzhebariki-Khaya,RU,62.2167,135.8,20.66,90,100,6.33,overcast clouds
315,Kaoma,ZM,-14.7833,24.8,62.83,67,50,5.03,scattered clouds
316,Penzance,GB,50.1186,-5.5371,48.2,61,20,6.91,few clouds
317,Cleethorpes,GB,53.5605,-0.0323,50.0,81,12,10.36,few clouds
318,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.4,94,58,5.75,very heavy rain
319,Fez,MA,34.0372,-4.9998,68.0,45,0,3.13,clear sky
320,Cochrane,CA,51.1834,-114.4687,30.99,93,90,12.5,snow
321,Jinxiang,CN,27.4327,120.6062,57.61,62,100,4.43,overcast clouds
322,Pulsano,IT,40.3821,17.3564,55.99,67,0,3.44,clear sky
323,Buraydah,SA,26.326,43.975,82.4,23,0,2.3,clear sky
324,Sitka,US,57.0531,-135.33,53.6,58,1,3.44,clear sky
325,Chunskiy,RU,56.0815,99.6342,22.59,98,97,2.98,overcast clouds
326,Umm Lajj,SA,25.0213,37.2685,80.6,61,0,8.34,clear sky
327,Arroio Grande,BR,-32.2375,-53.0869,73.0,54,1,10.83,clear sky
328,Oxford,GB,51.7522,-1.256,55.4,32,0,4.61,clear sky
329,Kholm,RU,59.2667,32.85,45.55,70,100,7.87,overcast clouds
330,Ishigaki,JP,24.3448,124.1572,68.63,64,17,19.46,few clouds
331,Manzil Salim,TN,35.8567,8.4765,48.2,53,40,11.5,scattered clouds
332,Gonbad-E Qabus,IR,37.25,55.1672,64.4,52,0,4.61,clear sky
333,Bathsheba,BB,13.2167,-59.5167,86.0,51,40,24.16,scattered clouds
334,Sur,OM,22.5667,59.5289,82.49,59,100,8.57,overcast clouds
335,Saint Augustine,US,29.8947,-81.3145,72.0,88,75,6.91,broken clouds
336,Aguimes,ES,27.9054,-15.4461,69.01,64,20,25.32,few clouds
337,Kaniama,CD,-7.5667,24.1833,68.47,94,77,4.29,broken clouds
338,Chernyshevskiy,RU,63.0128,112.4714,-4.23,99,93,2.42,overcast clouds
339,Barra Patuca,HN,15.8,-84.2833,85.96,67,89,14.52,overcast clouds
340,Staryy Nadym,RU,65.6118,72.6842,-4.18,96,9,11.07,clear sky
341,Naica,MX,27.85,-105.4833,68.36,27,0,2.62,clear sky
342,Vytegra,RU,61.0064,36.4481,33.64,85,0,5.61,clear sky
343,Deputatskiy,RU,69.3,139.9,-3.46,96,100,6.64,overcast clouds
